Age of 118th Congress,Title,Party,Birth Month & Day,Age,Number of Terms
Rep. Kevin Hern (R-OK-1),US Representative,Republican,12/4/1961,61.0,4
Rep. Brian Higgins (D-NY-26),US Representative,Democrat,10/6/1959,64.0,10
"Rep. Clay ""Captain"" Higgins (R-LA-3)",US Representative,Republican,8/24/1961,62.0,4
Rep. French Hill (R-AR-2),US Representative,Republican,12/5/1956,66.0,5
Rep. Jim Himes (D-CT-4),US Representative,Democrat,7/5/1966,57.0,8
Rep. Ashley Hinson (R-IA-2),US Representative,Republican,6/27/1983,40.0,2
"Rep. Steven ""Steve"" Horsford (D-NV-4)",US Representative,Democrat,4/29/1973,50.0,3
Rep. Erin Houchin (R-IN-9),US Representative,Republican,9/24/1976,47.0,1
Rep. Chrissy Houlahan (D-PA-6),US Representative,Democrat,6/5/1967,56.0,3
Rep. Steny Hoyer (D-MD-5),US Representative,Democrat,6/14/1939,84.0,22
Rep. Val Hoyle (D-OR-4),US Representative,Democrat,2/14/1964,59.0,1
Rep. Richard Hudson (R-NC-9),US Representative,Republican,11/4/1971,51.0,6
Rep. Jared Huffman (D-CA-2),US Representative,Democrat,2/18/1964,59.0,6
Rep. Bill Huizenga (R-MI-4),US Representative,Republican,1/31/1969,54.0,7
Rep. Wesley Hunt (R-TX-38),US Representative,Republican,11/13/1981,41.0,1
Rep. Darrell Issa (R-CA-48),US Representative,Republican,11/1/1953,69.0,2
Rep. Glenn Ivey (D-MD-4),US Representative,Democrat,2/27/1961,62.0,1
Rep. Jeff Jackson (D-NC-14),US Representative,Democrat,9/12/1982,41.0,1
Rep. Jonathan Jackson (D-IL-1),US Representative,Democrat,1/7/1966,57.0,1
Rep. Ronny Jackson (R-TX-13),US Representative,Republican,5/4/1967,56.0,2
Rep. Sheila Jackson Lee (D-TX-18),US Representative,Democrat,1/12/1950,73.0,15
Rep. Sara Jacobs (D-CA-51),US Representative,Democrat,2/1/1989,34.0,2
Rep. John James (R-MI-10),US Representative,Republican,6/8/1981,42.0,1
Rep. Pramila Jayapal (D-WA-7),US Representative,Democrat,9/21/1965,58.0,4
Leader Hakeem Jeffries (D-NY-8),US Representative,Democrat,8/4/1970,53.0,6
Rep. Bill Johnson (R-OH-6),US Representative,Republican,11/10/1954,68.0,7
Rep. Dusty Johnson (R-SD-1),US Representative,Republican,9/30/1976,47.0,3
Rep. Hank Johnson (D-GA-4),US Representative,Democrat,10/2/1954,69.0,9
Rep. Mike Johnson (R-LA-4),US Representative,Republican,1/30/1972,51.0,4
Rep. Jim Jordan (R-OH-4),US Representative,Republican,2/17/1964,59.0,9
Rep. Dave Joyce (R-OH-14),US Representative,Republican,3/17/1957,66.0,6
Rep. John Joyce (R-PA-13),US Representative,Republican,2/8/1957,66.0,3
Rep. Sydney Kamlager-Dove (D-CA-37),US Representative,Democrat,7/20/1972,51.0,1
Rep. Marcy Kaptur (D-OH-9),US Representative,Democrat,6/17/1946,77.0,21
Rep. Tom Kean (R-NJ-7),US Representative,Republican,9/5/1968,55.0,1
Rep. Bill Keating (D-MA-9),US Representative,Democrat,9/6/1952,71.0,7
Rep. Mike Kelly (R-PA-16),US Representative,Republican,5/10/1948,75.0,7
Rep. Robin Kelly (D-IL-2),US Representative,Democrat,4/30/1956,67.0,6
Rep. Trent Kelly (R-MS-1),US Representative,Republican,3/1/1966,57.0,5
Rep. Ro Khanna (D-CA-17),US Representative,Democrat,9/13/1976,47.0,4
Rep. Jen Kiggans (R-VA-2),US Representative,Republican,6/18/1971,52.0,1
Rep. Dan Kildee (D-MI-8),US Representative,Democrat,8/11/1958,65.0,6
Rep. Kevin Kiley (R-CA-3),US Representative,Republican,1/30/1985,38.0,1
Rep. Derek Kilmer (D-WA-6),US Representative,Democrat,1/1/1974,49.0,6
Rep. Andy Kim (D-NJ-3),US Representative,Democrat,7/12/1982,41.0,3
Rep. Young Kim (R-CA-40),US Representative,Republican,10/18/1962,61.0,2
Rep. Raja Krishnamoorthi (D-IL-8),US Representative,Democrat,7/19/1973,50.0,4
"Rep. Ann ""Annie"" Kuster (D-NH-2)",US Representative,Democrat,9/5/1956,67.0,6
Rep. David Kustoff (R-TN-8),US Representative,Republican,10/8/1966,57.0,4
Rep. Darin LaHood (R-IL-16),US Representative,Republican,7/5/1968,55.0,5
Rep. Nick LaLota (R-NY-1),US Representative,Republican,6/23/1978,45.0,1
Rep. Doug LaMalfa (R-CA-1),US Representative,Republican,7/2/1960,63.0,6
Rep. Doug Lamborn (R-CO-5),US Representative,Republican,5/24/1954,69.0,9
Rep. Greg Landsman (D-OH-1),US Representative,Democrat,12/4/1976,46.0,1
Rep. Nick Langworthy (R-NY-23),US Representative,Republican,2/27/1981,42.0,1
Rep. Rick Larsen (D-WA-2),US Representative,Democrat,6/15/1965,58.0,12
Rep. John Larson (D-CT-1),US Representative,Democrat,7/22/1948,75.0,13
Rep. Bob Latta (R-OH-5),US Representative,Republican,4/18/1956,67.0,9
